tipo,nome,level,link,descricao
privacy and security,PrivateBin,beginner,https://bin.privacytools.io/,"PrivateBin is a minimalist, open source online pastebin where the server has zero knowledge of pasted data. Data is encrypted/decrypted in the browser using 256 bits AES."
privacy and security,Signal,beginner,https://signal.org/,"Messaging app. State-of-the-art end-to-end encryption (powered by the open source Signal Protocol) keeps your conversations secure. Privacy isn’t an optional mode — it’s just the way that Signal works. Every message, every call, every time."
privacy and security,ProtonMail,beginner,https://protonmail.com/,"ProtonMail is an email and also VPN service. All emails are secured automatically with end-to-end encryption. This means even we cannot decrypt and read your emails. As a result, your encrypted emails cannot be shared with third parties."
privacy and security,ExifCleaner,intermediate,https://exifcleaner.com/,"ExifCleaner is a freeware, open source graphical app that uses ExifTool to remove exif metadata from images, videos, and PDF documents using a simple drag and drop interface. It supports multi-core batch processing and dark mode."
privacy and security,Bitwarden,beginner,https://bitwarden.com/,"Bitwarden is a free and open-source password manager. It aims to solve password management problems for individuals, teams, and business organizations. Bitwarden is among the easiest and safest solutions to store all of your logins and passwords while conveniently keeping them synced between all of your devices. If you don't want to use the Bitwarden cloud, you can easily host your own Bitwarden server."
privacy and security,Have I Benn pwned,beginner,https://haveibeenpwned.com/,Check if you have an account that has been compromised in a data breach.
privacy and security,NordVPN,beginner,https://nordvpn.com,"A good, fair-priced VPN service."
privacy and security,Nextcloud,proficient,https://nextcloud.com/,Nextcloud is a suite of free and open-source client-server software for creating your own file hosting services on a private server you control.
privacy and security,Privnote,beginner,https://privnote.com/,Send notes that will self-destruct after being read.
privacy and security,Outline,intermediate,https://getoutline.org/en/home,Outline lets news organizations easily provide their network safer access to the open internet. The Outline software allows for the creation of a personal or corporate VPN server
privacy and security,Intra,intermediate,https://getintra.org/#!/,"Intra protects you from DNS manipulation, a cyber attack used to block access to news sites, social media platforms and messaging apps."
privacy and security,Privacy for Journalists,beginner,https://privacyforjournalists.org.au/,Website dedicated to inform and educate ordinary citizens and professionals on privacy and information security.
web browsers and search,Brave,beginner,https://brave.com/,"The Brave browser is a fast, private and secure web browser for PC, Mac and mobile. "
web browsers and search,Tor,intermediate,https://www.torproject.org/download/,Tor Browser isolates each website you visit so third-party trackers and ads can't follow you. Any cookies automatically clear when you're done browsing. So will your browsing history.
web browsers and search,Searx,beginner,https://search.privacytools.io/,"Search mechanism. Searx is a free internet metasearch engine which aggregates results from more than 70 search services. Users are neither tracked nor profiled. Additionally, searx can be used over Tor for online anonymity."
web browsers and search,Qwant,beginner,https://www.qwant.com/,Qwant is a search engine with its philosophy based on two principles: no user tracking and no filter bubble. Qwant was launched in France in February 2013.
documents and data,Workbench,beginner,http://workbenchdata.com,"All your data tools in one simple place. Workbench brings all the steps of day-to-day data analysis into one collaborative document, in your browser."
documents and data,Kaggle,proficient,https://www.kaggle.com/,"Kaggle offers a no-setup, customizable, Jupyter Notebooks environment. Access free GPUs and a huge repository of community published data & code."
documents and data,Airtable,beginner,https://airtable.com/,"Part spreadsheet, part database, and entirely flexible, teams use Airtable to organize their work, their way. Airtable Blocks give you a creative palette of app-like functionality that you can mix and match to create the perfect workflow for your team."
documents and data,Standard Notes,beginner,https://standardnotes.org,"A free, open-source, and completely encrypted notes app. Standard Notes is free to use on every platform, and comes standard with cross-platform sync and end-to-end privacy. For those wanting a little more power and flexibility, we created Extended, which unlocks powerful editors, themes, and automated backups."
documents and data,Tresorit,beginner,https://tresorit.com/,"End-to-End Encrypted File Sync & Sharing. Tresorit is the ultra-secure place in the cloud to store, sync and share files easily from anywhere, anytime."
documents and data,Send,beginner,https://send.firefox.com/,Firefox Send lets you share files with end-to-end encryption and a link that automatically expires. So you can keep what you share private and make sure your stuff doesn’t stay online forever. 
documents and data,Sync,beginner,https://www.sync.com/,"Sync makes it easy to store, share and access your files from just about anywhere. Best of all, Sync protects your privacy with end-to-end encryption — ensuring that your data in the cloud is safe, secure and 100% private."
documents and data,Overviewdocs,beginner,https://www.overviewdocs.com/,"Overview is an open-source platform that helps you read and analyze thousands of documents super quickly. It includes full text search, visualizations, entity detection, topic clustering, and more. All in an easy-to use, visual workflow."
documents and data,Databin,intermediate,http://databin.pudo.org,databin helps you to share tabular data — a few rows from Excel or a result from a SQL prompt — with others.
documents and data,Coda,beginner,https://coda.io/,Coda is a cloud-based document editor.
documents and data,Dropbox Paper,beginner,https://www.dropbox.com/paper,"Paper is a workspace that brings creation and coordination together in one place. Write and edit, brainstorm, review designs, manage tasks, or run meetings."
